År;Kön;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2022;Män;0;0;0.31;2.6;1.62;1.14;5.81;3.12;8.82;17.08;33.42;46.79;85.65;96.9;171.31;264.26;316.53;304.54;51.39
2022;Kvinnor;0;0;0.33;1.38;1.46;1.52;4.79;3.31;8.9;18.27;24.48;37.78;73.98;93.71;144.73;222.93;303.96;262.98;52.1
2021;Män;0;0.31;0;1.99;1.63;3.03;3.64;5.83;9.85;10.98;34.37;33.93;85.8;111.47;180.7;246.2;311.47;361.42;51.11
2021;Kvinnor;0;0;0.99;1.42;2.21;1.17;5.19;4.63;8.02;19.89;31.96;37.88;65.86;99.25;145.25;209.43;319.82;294.51;53.01
2020;Män;0;0;0.63;1.35;0.65;1.6;3.48;5.95;9.91;18.62;26.05;37.93;65.58;105.2;177.61;233.68;317.56;284.3;47.18
2020;Kvinnor;0;0;1;1.81;1.46;1.98;2.82;3.77;10;19.46;26.84;35.27;59.93;106.89;153.14;209.93;301.4;244.72;50.35
2019;Män;0;0.31;0;1.02;1.61;1.05;2.77;4.83;8.36;17.26;21.63;42.53;66.6;123.65;162.15;255.43;358.13;306.23;48.62
2019;Kvinnor;0;0;0.34;1.86;3.19;2.5;2.92;7.32;11.91;16.22;29.16;33.5;54.78;98.78;150.9;252.18;294.16;260.48;51.47
2018;Män;0;0.32;0.66;1.72;0.95;3.16;3.45;5.23;8.92;15.6;22.1;37.75;70.8;122.6;166.5;256.64;323.79;279.35;47.16
2018;Kvinnor;0;0.33;1.05;1.53;3.77;0.84;5.17;4.53;12.44;16.35;21.94;40.21;61.26;90.46;153.4;229.99;302.58;231.34;49.34
2017;Män;0;0;0;1.07;0.61;0.81;2.98;3.45;8.23;17.09;23.31;41.79;71.7;122.64;170.25;238.58;364.69;294.62;47.44
2017;Kvinnor;0;0;0;0.39;2.64;1.99;2.84;5.26;10.1;16.04;21.7;34.87;70.61;109;134.76;216.44;283.71;210.35;47.15
2016;Män;0;0;0.7;0.73;1.2;1.4;4.01;3.19;11.81;13.42;30.63;33.84;76.46;110.17;177.45;265.6;342.04;293.08;47.65
2016;Kvinnor;0;0.35;0;1.19;1.59;0.88;2.94;5;10.01;16.9;22.32;41.98;75.18;103.98;139.18;253.48;281.6;234.91;49.89
2015;Män;0;0.34;0.36;0.37;1.46;2.63;3.17;6.46;13.93;14.47;18.06;34.6;85.16;107.31;183.06;263.86;302.76;253.34;45.96
2015;Kvinnor;0;0;0.38;3.16;1.55;3.06;2.68;5.72;9.66;15.25;20.51;38.56;65.17;98.83;136.54;231.49;271.36;218.86;46.96
2014;Män;0;0;0;0.36;0.87;3.95;3.55;4.53;9.78;13.09;21.3;40.61;67.2;115.61;168.04;265.87;329.86;267.22;45.26
2014;Kvinnor;0;0;0;1.16;2.44;1.91;0.68;6.38;7.22;12.34;21.56;36.57;62.29;91.21;155.07;213.31;277.3;205.26;45.48
2013;Män;0;0;0.78;1.4;0.88;1.89;1.64;6.41;9.86;11.86;20.93;41.8;66.7;107.64;168.34;264.12;298.69;243.28;43.07
2013;Kvinnor;0;0;1.23;1.12;1.22;2.64;2.75;5.65;11.38;14.09;26.91;39.78;57.61;96.57;149.8;217.98;272.23;195.73;45.8
2012;Män;0;0;0.4;1.68;2.37;1.62;2;2.53;11.65;12.9;22.26;45.31;75.51;116.58;183.47;253.79;288.24;263.29;44.52
2012;Kvinnor;0;0.76;0.84;0.71;1.55;2.05;2.09;6.22;6.62;12.47;20.69;38.09;62.73;97.11;148.22;220.29;257.43;204.08;44.94
2011;Män;0;0.37;0.4;2.25;1.22;0.66;6.37;5.31;9.41;12.95;21.66;40.31;69.6;131.02;182.37;245.6;297.17;294.22;44.9
2011;Kvinnor;0;0;0.85;2.72;0.96;2.45;4.21;6.13;8.45;13.42;23.86;36.12;64.79;90.47;169.55;215.34;252.29;186.33;44.97
